,Unnamed: 0,letter_index,letter,frequency,identity
0,0,1,A,7.38,Ransom
1,1,2,B,1.09,Ransom
2,2,3,C,2.46,Ransom
3,3,4,D,4.1,Ransom
4,4,5,E,12.84,Ransom
5,5,6,F,1.37,Ransom
6,6,7,G,1.09,Ransom
7,7,8,H,3.55,Ransom
8,8,9,I,7.65,Ransom
9,9,10,J,0.0,Ransom
10,10,11,K,3.01,Ransom
11,11,12,L,3.28,Ransom
12,12,13,M,2.46,Ransom
13,13,14,N,7.38,Ransom
14,14,15,O,6.83,Ransom
15,15,16,P,7.65,Ransom
16,16,17,Q,0.0,Ransom
17,17,18,R,4.92,Ransom
18,18,19,S,4.1,Ransom
19,19,20,T,6.28,Ransom
20,20,21,U,4.37,Ransom
21,21,22,V,1.09,Ransom
22,22,23,W,2.46,Ransom
23,23,24,X,0.0,Ransom
24,24,25,Y,4.64,Ransom
25,25,26,Z,0.0,Ransom
